Comune,Provincia,Regione,2019,2020
ABANO TERME,PD,Veneto,22672,20753
ABBADIA CERRETO,LO,Lombardia,17633,15378
ABBADIA LARIANA,LC,Lombardia,23309,21311
ABBADIA SAN SALVATORE,SI,Toscana,16804,15551
ABBASANTA,OR,Sardegna,17636,15990
ABBATEGGIO,PE,Abruzzo,12090,10547
ABBIATEGRASSO,MI,Lombardia,22873,21437
ABRIOLA,PZ,Basilicata,12535,10657
ACATE,RG,Sicilia,10395,7973
ACCADIA,FG,Puglia,13375,11802
ACCEGLIO,CN,Piemonte,14741,12950
ACCETTURA,MT,Basilicata,11138,9303
ACCIANO,AQ,Abruzzo,14103,12295
ACCUMOLI,RI,Lazio,13786,11865
ACERENZA,PZ,Basilicata,13553,12140
CERMES .TSCHERMS.,BZ,Trentino Alto Adige(P.A.Bolzano),19819,18968
ACERNO,SA,Campania,10683,8309
ACERRA,NA,Campania,15410,13468
ACI BONACCORSI,CT,Sicilia,18347,16386
ACI CASTELLO,CT,Sicilia,21776,20629
ACI CATENA,CT,Sicilia,16023,13899
ACIREALE,CT,Sicilia,16739,14792
ACI SANT'ANTONIO,CT,Sicilia,16295,14458
ACQUAFONDATA,FR,Lazio,11351,10089
ACQUAFORMOSA,CS,Calabria,12065,10915
ACQUAFREDDA,BS,Lombardia,18410,16807
ACQUALAGNA,PU,Marche,17075,15522
ACQUANEGRA SUL CHIESE,MN,Lombardia,17693,16710
ACQUANEGRA CREMONESE,CR,Lombardia,19180,18087
ACQUAPENDENTE,VT,Lazio,16371,14937
ACQUAPPESA,CS,Calabria,13866,11444
ACQUARO,VV,Calabria,11555,9308
ACQUASANTA TERME,AP,Marche,14590,13125
ACQUASPARTA,TR,Umbria,17393,15968
ACQUAVIVA PICENA,AP,Marche,16518,14628
ACQUAVIVA DELLE FONTI,BA,Puglia,16837,15459
ACQUAVIVA PLATANI,CL,Sicilia,9612,7544
ACQUAVIVA COLLECROCE,CB,Molise,11431,9849
ACQUAVIVA D'ISERNIA,IS,Molise,13400,12702
ACQUI TERME,AL,Piemonte,19784,18350
ACRI,CS,Calabria,13501,11486
ACUTO,FR,Lazio,15379,13816
ADELFIA,BA,Puglia,15778,14336
ADRANO,CT,Sicilia,11556,8914
ADRARA SAN MARTINO,BG,Lombardia,20354,17651
ADRARA SAN ROCCO,BG,Lombardia,18750,16696
ADRIA,RO,Veneto,19310,18076
ADRO,BS,Lombardia,20180,18412
AFFI,VR,Veneto,20106,17654
AFFILE,RM,Lazio,16368,15145
AFRAGOLA,NA,Campania,14263,12156
AFRICO,RC,Calabria,13660,12285
AGAZZANO,PC,Emilia Romagna,20785,19695
AGEROLA,NA,Campania,14056,10602
AGGIUS,SS,Sardegna,15566,13342
AGIRA,EN,Sicilia,12907,10683
AGLIANA,PT,Toscana,18616,16739
AGLIANO TERME,AT,Piemonte,17024,15586
AGLIE',TO,Piemonte,21881,20484
AGNA,PD,Veneto,17974,16401
AGNADELLO,CR,Lombardia,20427,19410
AGNANA CALABRA,RC,Calabria,10558,7994
AGNONE,IS,Molise,15989,14439
VILLA LATINA,FR,Lazio,12396,10883
AGNOSINE,BS,Lombardia,20174,19148
AGORDO,BL,Veneto,23716,22370
AGOSTA,RM,Lazio,18425,17384
AGRA,VA,Lombardia,14188,12503
AGRATE BRIANZA,MB,Lombardia,24621,23322
AGRATE CONTURBIA,NO,Piemonte,24775,23726
AGRIGENTO,AG,Sicilia,18454,17012
AGROPOLI,SA,Campania,16180,14634
AGUGLIANO,AP,Marche,19904,18741
AGUGLIARO,VI,Veneto,19183,18047
AYAS,AO,Valle d'Aosta,18324,16233
AICURZIO,MB,Lombardia,26586,23461
AIDOMAGGIORE,OR,Sardegna,12138,10416
AIDONE,EN,Sicilia,13036,10733
AIELLI,AQ,Abruzzo,14388,13723
AIELLO DEL SABATO,AV,Campania,15959,14092
AIELLO CALABRO,CS,Calabria,11895,9417
AIELLO DEL FRIULI,UD,Friuli Venezia Giulia,19636,18258
AIETA,CS,Calabria,9728,6963
AILANO,CE,Campania,15208,13723
AILOCHE,BI,Piemonte,18576,16357
AYMAVILLES,AO,Valle d'Aosta,19556,18194
AIRASCA,TO,Piemonte,20122,18893
AIROLA,BN,Campania,16314,14673
AIROLE,IM,Liguria,16193,14433
AIRUNO,LC,Lombardia,21159,19898
AISONE,CN,Piemonte,19479,19159
ALA' DEI SARDI,SS,Sardegna,11392,10259
ALA,TN,Trentino Alto Adige(P.A.Trento),19778,18470
ALA DI STURA,TO,Piemonte,21478,18923
ALAGNA,PV,Lombardia,19823,19323
ALAGNA VALSESIA,VC,Piemonte,22901,23617
ALANNO,PE,Abruzzo,15475,14044
ALANO DI PIAVE,BL,Veneto,19664,16261
ALASSIO,SV,Liguria,20850,18342
ALATRI,FR,Lazio,17031,15670
ALBA,CN,Piemonte,23639,22189
ALBA ADRIATICA,TE,Abruzzo,15315,13377
ALBAGIARA,OR,Sardegna,13741,12636
ALBAIRATE,MI,Lombardia,22201,21063
ALBANELLA,SA,Campania,12911,10938
ALBANO SANT'ALESSANDRO,BG,Lombardia,21664,19749
ALBANO VERCELLESE,VC,Piemonte,15588,13759
ALBANO DI LUCANIA,PZ,Basilicata,14847,13761
ALBANO LAZIALE,RM,Lazio,20179,19106
ALBAREDO ARNABOLDI,PV,Lombardia,20136,19974
ALBAREDO PER SAN MARCO,SO,Lombardia,15208,13575
ALBAREDO D'ADIGE,VR,Veneto,16908,15476
ALBARETO,PR,Emilia Romagna,16876,15304
ALBARETTO DELLA TORRE,CN,Piemonte,18350,18045
ALBAVILLA,CO,Lombardia,21960,20338
ALBENGA,SV,Liguria,16907,15237
ALBERA LIGURE,AL,Piemonte,17421,15929
ALBEROBELLO,BA,Puglia,15948,13790
ALBERONA,FG,Puglia,9522,8240
ALBESE CON CASSANO,CO,Lombardia,22119,20261
ALBETTONE,VI,Veneto,17740,16392
ALBI,CZ,Calabria,12139,10255
ALBIANO D'IVREA,TO,Piemonte,20020,18472
ALBIANO,TN,Trentino Alto Adige(P.A.Trento),19347,18140
ALBIATE,MB,Lombardia,24677,22547
ALBIDONA,CS,Calabria,10683,8160
ALBIGNASEGO,PD,Veneto,23698,22045
ALBINEA,RE,Emilia Romagna,27302,25382
ALBINO,BG,Lombardia,21610,19463
ALBIOLO,CO,Lombardia,17985,16516
ALBISSOLA MARINA,SV,Liguria,24732,23256
ALBISOLA SUPERIORE,SV,Liguria,21193,19667
ALBIZZATE,VA,Lombardia,22818,21112
ALBONESE,PV,Lombardia,17589,16105
ALBOSAGGIA,SO,Lombardia,20462,19237
ALBUGNANO,AT,Piemonte,18497,16892
ALBUZZANO,PV,Lombardia,20433,18945
ALCAMO,TP,Sicilia,14010,12301
ALCARA LI FUSI,ME,Sicilia,12356,10810
ALDENO,TN,Trentino Alto Adige(P.A.Trento),19756,18793
ALDINO .ALDEIN.,BZ,Trentino Alto Adige(P.A.Bolzano),20652,18943
ALES,OR,Sardegna,14908,13367
ALESSANDRIA DELLA ROCCA,AG,Sicilia,12568,10700
ALESSANDRIA,AL,Piemonte,21308,20202
ALESSANDRIA DEL CARRETTO,CS,Calabria,11108,9813
ALESSANO,LE,Puglia,13131,11298
ALEZIO,LE,Puglia,13883,12086
ALFANO,SA,Campania,11468,9252
ALFEDENA,AQ,Abruzzo,16067,14778
ALFIANELLO,BS,Lombardia,19916,18394
ALFIANO NATTA,AL,Piemonte,18784,16168
ALFONSINE,RA,Emilia Romagna,19289,18235
ALGHERO,SS,Sardegna,18184,16447
ALGUA,BG,Lombardia,18347,16433
ALI',ME,Sicilia,12819,11327
ALIA,PA,Sicilia,11580,9535
ALIANO,MT,Basilicata,12068,9767
ALICE BEL COLLE,AL,Piemonte,14244,12708
ALICE CASTELLO,VC,Piemonte,18411,16872
ALIFE,CE,Campania,13908,12286
ALI' TERME,ME,Sicilia,16742,14986
ALIMENA,PA,Sicilia,11620,9329
ALIMINUSA,PA,Sicilia,11483,9087
ALLAI,OR,Sardegna,14151,14134
ALLEIN,AO,Valle d'Aosta,18342,16787
ALLEGHE,BL,Veneto,19628,17699
ALLERONA,TR,Umbria,16649,15253
ALLISTE,LE,Puglia,11659,9379
ALLUMIERE,RM,Lazio,17518,16499
ALME',BG,Lombardia,20862,18857
VILLA D'ALME',BG,Lombardia,21284,19683
ALMENNO SAN BARTOLOMEO,BG,Lombardia,22277,20251
ALMENNO SAN SALVATORE,BG,Lombardia,20729,19140
ALMESE,TO,Piemonte,24367,23214
ALONTE,VI,Veneto,25469,23803
ALPETTE,TO,Piemonte,19061,17880
ALPIGNANO,TO,Piemonte,21447,20081
ALSENO,PC,Emilia Romagna,20965,19709
ALSERIO,CO,Lombardia,23030,21120
ALTAMURA,BA,Puglia,14930,13232
ALTARE,SV,Liguria,19319,17686
ALTAVILLA MONFERRATO,AL,Piemonte,21481,20194
ALTAVILLA IRPINA,AV,Campania,14290,12302
ALTAVILLA MILICIA,PA,Sicilia,16615,15312
ALTAVILLA SILENTINA,SA,Campania,13411,11394
ALTAVILLA VICENTINA,VI,Veneto,22691,21328
ALTIDONA,FM,Marche,17249,15782
ALTILIA,CS,Calabria,12565,10966
ALTINO,CH,Abruzzo,15632,14117
ALTISSIMO,VI,Veneto,19001,17446
ALTIVOLE,TV,Veneto,19294,17560
ALTO,CN,Piemonte,14997,11729
ALTOFONTE,PA,Sicilia,15604,13790
ALTOMONTE,CS,Calabria,11716,9841
ALTOPASCIO,LU,Toscana,17617,16075
ALVIANO,TR,Umbria,17011,15004
ALVIGNANO,CE,Campania,13554,11618
ALVITO,FR,Lazio,14920,13593
ALZANO SCRIVIA,AL,Piemonte,17516,15961
ALZANO LOMBARDO,BG,Lombardia,22382,20575
ALZATE BRIANZA,CO,Lombardia,22118,20426
AMALFI,SA,Campania,18506,13392
AMANDOLA,FM,Marche,17301,15753
AMANTEA,CS,Calabria,14378,12384
AMARO,UD,Friuli Venezia Giulia,19969,18678
AMARONI,CZ,Calabria,11108,8789
AMASENO,FR,Lazio,14577,12926
AMATO,CZ,Calabria,13361,10404
AMATRICE,RI,Lazio,15187,13482
AMBIVERE,BG,Lombardia,22224,20796
AMEGLIA,SP,Liguria,20410,18577
AMELIA,TR,Umbria,18137,16774
AMENDOLARA,CS,Calabria,13258,11253
AMENO,NO,Piemonte,22633,21917
AMOROSI,BN,Campania,15576,15129
CORTINA D'AMPEZZO,BL,Veneto,24802,22850
AMPEZZO,UD,Friuli Venezia Giulia,16820,15979
ANACAPRI,NA,Campania,19494,14230
ANAGNI,FR,Lazio,17605,16494
ANCARANO,TE,Abruzzo,15638,14793
ANCONA,AN,Marche,22123,20651
ANDALI,CZ,Calabria,10933,8866
ANDALO VALTELLINO,SO,Lombardia,19423,17671
ANDALO,TN,Trentino Alto Adige(P.A.Trento),19295,15800
ANDEZENO,TO,Piemonte,20321,18556
ANDORA,SV,Liguria,16759,14664
ANDORNO MICCA,BI,Piemonte,19218,18141
ANDRANO,LE,Puglia,15213,13874
ANDRATE,TO,Piemonte,18209,17767
ANDREIS,PN,Friuli Venezia Giulia,16104,14767
ANDRETTA,AV,Campania,12120,10136
ANDRIA,BT,Puglia,13134,11031
