unique_id,bank_account
uniqueid_1 x Kenya,0
uniqueid_2 x Kenya,0
uniqueid_3 x Kenya,0
uniqueid_4 x Kenya,0
uniqueid_5 x Kenya,0
uniqueid_6 x Kenya,0
uniqueid_7 x Kenya,0
uniqueid_8 x Kenya,0
uniqueid_9 x Kenya,0
uniqueid_10 x Kenya,0
uniqueid_11 x Kenya,0
uniqueid_12 x Kenya,0
uniqueid_13 x Kenya,0
uniqueid_14 x Kenya,0
uniqueid_15 x Kenya,0
uniqueid_16 x Kenya,0
uniqueid_17 x Kenya,0
uniqueid_18 x Kenya,0
uniqueid_19 x Kenya,0
uniqueid_20 x Kenya,0
uniqueid_21 x Kenya,0
uniqueid_22 x Kenya,0
uniqueid_23 x Kenya,0
uniqueid_24 x Kenya,0
uniqueid_25 x Kenya,0
uniqueid_26 x Kenya,0
uniqueid_27 x Kenya,0
uniqueid_28 x Kenya,0
uniqueid_29 x Kenya,0
uniqueid_30 x Kenya,0
uniqueid_31 x Kenya,0
uniqueid_32 x Kenya,0
uniqueid_33 x Kenya,0
uniqueid_34 x Kenya,0
uniqueid_35 x Kenya,0
uniqueid_36 x Kenya,0
uniqueid_37 x Kenya,0
uniqueid_38 x Kenya,0
uniqueid_39 x Kenya,0
uniqueid_40 x Kenya,0
uniqueid_41 x Kenya,0
uniqueid_42 x Kenya,0
uniqueid_43 x Kenya,0
uniqueid_44 x Kenya,0
uniqueid_45 x Kenya,0
uniqueid_46 x Kenya,0
uniqueid_47 x Kenya,0
uniqueid_48 x Kenya,0
uniqueid_49 x Kenya,0
uniqueid_50 x Kenya,0
uniqueid_51 x Kenya,0
uniqueid_52 x Kenya,0
uniqueid_53 x Kenya,0
uniqueid_54 x Kenya,0
uniqueid_55 x Kenya,0
uniqueid_56 x Kenya,0
uniqueid_57 x Kenya,0
uniqueid_58 x Kenya,0
uniqueid_59 x Kenya,0
uniqueid_60 x Kenya,0
uniqueid_61 x Kenya,0
uniqueid_62 x Kenya,0
uniqueid_63 x Kenya,0
uniqueid_64 x Kenya,0
uniqueid_65 x Kenya,0
uniqueid_66 x Kenya,0
uniqueid_67 x Kenya,0
uniqueid_68 x Kenya,0
uniqueid_69 x Kenya,0
uniqueid_70 x Kenya,0
uniqueid_71 x Kenya,0
uniqueid_72 x Kenya,0
uniqueid_73 x Kenya,0
uniqueid_74 x Kenya,0
uniqueid_75 x Kenya,0
uniqueid_76 x Kenya,0
uniqueid_77 x Kenya,0
uniqueid_78 x Kenya,0
uniqueid_79 x Kenya,0
uniqueid_80 x Kenya,0
uniqueid_81 x Kenya,0
uniqueid_82 x Kenya,0
uniqueid_83 x Kenya,0
uniqueid_84 x Kenya,0
uniqueid_85 x Kenya,0
uniqueid_86 x Kenya,0
uniqueid_87 x Kenya,0
uniqueid_88 x Kenya,0
uniqueid_89 x Kenya,0
uniqueid_90 x Kenya,0
uniqueid_91 x Kenya,0
uniqueid_92 x Kenya,0
uniqueid_93 x Kenya,0
uniqueid_94 x Kenya,0
uniqueid_95 x Kenya,0
uniqueid_96 x Kenya,0
uniqueid_97 x Kenya,0
uniqueid_98 x Kenya,0
uniqueid_99 x Kenya,0
uniqueid_100 x Kenya,0
uniqueid_101 x Kenya,0
uniqueid_102 x Kenya,0
uniqueid_103 x Kenya,0
uniqueid_104 x Kenya,0
uniqueid_105 x Kenya,0
uniqueid_106 x Kenya,0
uniqueid_107 x Kenya,0
uniqueid_108 x Kenya,0
uniqueid_109 x Kenya,0
uniqueid_110 x Kenya,0
uniqueid_111 x Kenya,0
uniqueid_112 x Kenya,0
uniqueid_113 x Kenya,0
uniqueid_114 x Kenya,0
uniqueid_115 x Kenya,0
uniqueid_116 x Kenya,0
uniqueid_117 x Kenya,0
uniqueid_118 x Kenya,0
uniqueid_119 x Kenya,0
uniqueid_120 x Kenya,0
uniqueid_121 x Kenya,0
uniqueid_122 x Kenya,0
uniqueid_123 x Kenya,0
uniqueid_124 x Kenya,0
uniqueid_125 x Kenya,0
uniqueid_126 x Kenya,0
uniqueid_127 x Kenya,0
uniqueid_128 x Kenya,0
uniqueid_129 x Kenya,0
uniqueid_130 x Kenya,0
uniqueid_131 x Kenya,0
uniqueid_132 x Kenya,0
uniqueid_133 x Kenya,0
uniqueid_134 x Kenya,0
uniqueid_135 x Kenya,0
uniqueid_136 x Kenya,0
uniqueid_137 x Kenya,0
uniqueid_138 x Kenya,0
uniqueid_139 x Kenya,0
uniqueid_140 x Kenya,0
uniqueid_141 x Kenya,0
uniqueid_142 x Kenya,0
uniqueid_143 x Kenya,0
uniqueid_144 x Kenya,0
uniqueid_145 x Kenya,0
uniqueid_146 x Kenya,0
uniqueid_147 x Kenya,0
uniqueid_148 x Kenya,0
uniqueid_149 x Kenya,0
uniqueid_150 x Kenya,0
uniqueid_151 x Kenya,0
uniqueid_152 x Kenya,0
uniqueid_153 x Kenya,0
uniqueid_154 x Kenya,0
uniqueid_155 x Kenya,0
uniqueid_156 x Kenya,0
uniqueid_157 x Kenya,0
uniqueid_158 x Kenya,0
uniqueid_159 x Kenya,0
uniqueid_160 x Kenya,0
uniqueid_161 x Kenya,0
uniqueid_162 x Kenya,0
uniqueid_163 x Kenya,0
uniqueid_164 x Kenya,0
uniqueid_165 x Kenya,0
uniqueid_166 x Kenya,0
uniqueid_167 x Kenya,0
uniqueid_168 x Kenya,0
uniqueid_169 x Kenya,0
uniqueid_170 x Kenya,0
uniqueid_171 x Kenya,0
uniqueid_172 x Kenya,0
uniqueid_173 x Kenya,0
uniqueid_174 x Kenya,0
uniqueid_175 x Kenya,0
uniqueid_176 x Kenya,0
uniqueid_177 x Kenya,0
uniqueid_178 x Kenya,0
uniqueid_179 x Kenya,0
uniqueid_180 x Kenya,0
uniqueid_181 x Kenya,0
uniqueid_182 x Kenya,0
uniqueid_183 x Kenya,0
uniqueid_184 x Kenya,0
uniqueid_185 x Kenya,0
uniqueid_186 x Kenya,0
uniqueid_187 x Kenya,0
uniqueid_188 x Kenya,0
uniqueid_189 x Kenya,0
uniqueid_190 x Kenya,0
uniqueid_191 x Kenya,0
uniqueid_192 x Kenya,0
uniqueid_193 x Kenya,0
uniqueid_194 x Kenya,0
uniqueid_195 x Kenya,0
uniqueid_196 x Kenya,0
uniqueid_197 x Kenya,0
uniqueid_198 x Kenya,0
uniqueid_199 x Kenya,0
uniqueid_200 x Kenya,0
uniqueid_201 x Kenya,0
uniqueid_202 x Kenya,0
uniqueid_203 x Kenya,0
uniqueid_204 x Kenya,0
uniqueid_205 x Kenya,0
uniqueid_206 x Kenya,0
uniqueid_207 x Kenya,0
uniqueid_208 x Kenya,0
uniqueid_209 x Kenya,0
uniqueid_210 x Kenya,0
uniqueid_211 x Kenya,0
uniqueid_212 x Kenya,0
uniqueid_213 x Kenya,0
uniqueid_214 x Kenya,0
uniqueid_215 x Kenya,0
uniqueid_216 x Kenya,0
uniqueid_217 x Kenya,0
uniqueid_218 x Kenya,0
uniqueid_219 x Kenya,0
uniqueid_220 x Kenya,0
uniqueid_221 x Kenya,0
uniqueid_222 x Kenya,0
uniqueid_223 x Kenya,0
uniqueid_224 x Kenya,0
uniqueid_225 x Kenya,0
uniqueid_226 x Kenya,0
uniqueid_227 x Kenya,0
uniqueid_228 x Kenya,0
uniqueid_229 x Kenya,0
uniqueid_230 x Kenya,0
uniqueid_231 x Kenya,0
uniqueid_232 x Kenya,0
uniqueid_233 x Kenya,0
uniqueid_234 x Kenya,0
uniqueid_235 x Kenya,0
uniqueid_236 x Kenya,0
uniqueid_237 x Kenya,0
uniqueid_238 x Kenya,0
uniqueid_239 x Kenya,0
uniqueid_240 x Kenya,0
uniqueid_241 x Kenya,0
uniqueid_242 x Kenya,0
uniqueid_243 x Kenya,0
uniqueid_244 x Kenya,0
uniqueid_245 x Kenya,0
uniqueid_246 x Kenya,0
uniqueid_247 x Kenya,0
uniqueid_248 x Kenya,0
uniqueid_249 x Kenya,0
uniqueid_250 x Kenya,0
uniqueid_251 x Kenya,0
uniqueid_252 x Kenya,0
uniqueid_253 x Kenya,0
uniqueid_254 x Kenya,0
uniqueid_255 x Kenya,0
uniqueid_256 x Kenya,0
uniqueid_257 x Kenya,0
uniqueid_258 x Kenya,0
uniqueid_259 x Kenya,0
uniqueid_260 x Kenya,0
uniqueid_261 x Kenya,0
uniqueid_262 x Kenya,0
uniqueid_263 x Kenya,0
uniqueid_264 x Kenya,0
uniqueid_265 x Kenya,0
uniqueid_266 x Kenya,0
uniqueid_267 x Kenya,0
uniqueid_268 x Kenya,0
uniqueid_269 x Kenya,0
uniqueid_270 x Kenya,0
uniqueid_271 x Kenya,0
uniqueid_272 x Kenya,0
uniqueid_273 x Kenya,0
uniqueid_274 x Kenya,0
uniqueid_275 x Kenya,0
uniqueid_276 x Kenya,0
uniqueid_277 x Kenya,0
uniqueid_278 x Kenya,0
uniqueid_279 x Kenya,0
uniqueid_280 x Kenya,0
uniqueid_281 x Kenya,0
uniqueid_282 x Kenya,0
uniqueid_283 x Kenya,0
uniqueid_284 x Kenya,0
uniqueid_285 x Kenya,0
uniqueid_286 x Kenya,0
uniqueid_287 x Kenya,0
uniqueid_288 x Kenya,0
uniqueid_289 x Kenya,0
uniqueid_290 x Kenya,0
uniqueid_291 x Kenya,0
uniqueid_292 x Kenya,0
uniqueid_293 x Kenya,0
uniqueid_294 x Kenya,0
uniqueid_295 x Kenya,0
uniqueid_296 x Kenya,0
uniqueid_297 x Kenya,0
uniqueid_298 x Kenya,0
uniqueid_299 x Kenya,0
uniqueid_300 x Kenya,0
uniqueid_301 x Kenya,0
uniqueid_302 x Kenya,0
uniqueid_303 x Kenya,0
uniqueid_304 x Kenya,0
uniqueid_305 x Kenya,0
uniqueid_306 x Kenya,0
uniqueid_307 x Kenya,0
uniqueid_308 x Kenya,0
uniqueid_309 x Kenya,0
uniqueid_310 x Kenya,0
uniqueid_311 x Kenya,0
uniqueid_312 x Kenya,0
uniqueid_313 x Kenya,0
uniqueid_314 x Kenya,0
uniqueid_315 x Kenya,0
uniqueid_316 x Kenya,0
uniqueid_317 x Kenya,0
uniqueid_318 x Kenya,0
uniqueid_319 x Kenya,0
uniqueid_320 x Kenya,0
uniqueid_321 x Kenya,0
uniqueid_322 x Kenya,0
uniqueid_323 x Kenya,0
uniqueid_324 x Kenya,0
uniqueid_325 x Kenya,0
uniqueid_326 x Kenya,0
uniqueid_327 x Kenya,0
uniqueid_328 x Kenya,0
uniqueid_329 x Kenya,0
uniqueid_330 x Kenya,0
uniqueid_331 x Kenya,0
uniqueid_332 x Kenya,0
uniqueid_333 x Kenya,0
uniqueid_334 x Kenya,0
uniqueid_335 x Kenya,0
uniqueid_336 x Kenya,0
uniqueid_337 x Kenya,0
uniqueid_338 x Kenya,0
uniqueid_339 x Kenya,0
uniqueid_340 x Kenya,0
uniqueid_341 x Kenya,0
uniqueid_342 x Kenya,0
uniqueid_343 x Kenya,0
uniqueid_344 x Kenya,0
uniqueid_345 x Kenya,0
uniqueid_346 x Kenya,0
uniqueid_347 x Kenya,0
uniqueid_348 x Kenya,0
uniqueid_349 x Kenya,0
uniqueid_350 x Kenya,0
uniqueid_351 x Kenya,0
uniqueid_352 x Kenya,0
uniqueid_353 x Kenya,0
uniqueid_354 x Kenya,0
uniqueid_355 x Kenya,0
uniqueid_356 x Kenya,0
uniqueid_357 x Kenya,0
uniqueid_358 x Kenya,0
uniqueid_359 x Kenya,0
uniqueid_360 x Kenya,0
uniqueid_361 x Kenya,0
uniqueid_362 x Kenya,0
uniqueid_363 x Kenya,0
uniqueid_364 x Kenya,0
uniqueid_365 x Kenya,0
uniqueid_366 x Kenya,0
uniqueid_367 x Kenya,0
uniqueid_368 x Kenya,0
uniqueid_369 x Kenya,0
uniqueid_370 x Kenya,0
uniqueid_371 x Kenya,0
uniqueid_372 x Kenya,0
uniqueid_373 x Kenya,0
uniqueid_374 x Kenya,0
uniqueid_375 x Kenya,0
uniqueid_376 x Kenya,0
uniqueid_377 x Kenya,0
uniqueid_378 x Kenya,0
uniqueid_379 x Kenya,0
uniqueid_380 x Kenya,0
uniqueid_381 x Kenya,0
uniqueid_382 x Kenya,0
uniqueid_383 x Kenya,0
uniqueid_384 x Kenya,0
uniqueid_385 x Kenya,0
uniqueid_386 x Kenya,0
uniqueid_387 x Kenya,0
uniqueid_388 x Kenya,0
uniqueid_389 x Kenya,0
uniqueid_390 x Kenya,0
uniqueid_391 x Kenya,0
uniqueid_392 x Kenya,0
uniqueid_393 x Kenya,0
uniqueid_394 x Kenya,0
uniqueid_395 x Kenya,0
uniqueid_396 x Kenya,0
uniqueid_397 x Kenya,0
uniqueid_398 x Kenya,0
uniqueid_399 x Kenya,0
uniqueid_400 x Kenya,0
uniqueid_401 x Kenya,0
uniqueid_402 x Kenya,0
uniqueid_403 x Kenya,0
uniqueid_404 x Kenya,0
uniqueid_405 x Kenya,0
uniqueid_406 x Kenya,0
uniqueid_407 x Kenya,0
uniqueid_408 x Kenya,0
uniqueid_409 x Kenya,0
uniqueid_410 x Kenya,0
uniqueid_411 x Kenya,0
uniqueid_412 x Kenya,0
uniqueid_413 x Kenya,0
uniqueid_414 x Kenya,0
uniqueid_415 x Kenya,0
uniqueid_416 x Kenya,0
uniqueid_417 x Kenya,0
uniqueid_418 x Kenya,0
uniqueid_419 x Kenya,0
uniqueid_420 x Kenya,0
uniqueid_421 x Kenya,0
uniqueid_422 x Kenya,0
uniqueid_423 x Kenya,0
uniqueid_424 x Kenya,0
uniqueid_425 x Kenya,0
uniqueid_426 x Kenya,0
uniqueid_427 x Kenya,0
uniqueid_428 x Kenya,0
uniqueid_429 x Kenya,0
uniqueid_430 x Kenya,0
uniqueid_431 x Kenya,0
uniqueid_432 x Kenya,0
uniqueid_433 x Kenya,0
uniqueid_434 x Kenya,0
