iter	MultiClass
0	1.580722127
1	1.463216458
2	1.384236369
3	1.325114685
4	1.276920452
5	1.239853354
6	1.208764777
7	1.184044781
8	1.160199098
9	1.142552201
10	1.125522423
11	1.11239717
12	1.103311434
13	1.087610074
14	1.077059559
15	1.065788321
16	1.059332624
17	1.052861016
18	1.048503628
19	1.039996628
20	1.034766362
21	1.02972454
22	1.027603867
23	1.021319298
24	1.009759621
25	1.00586735
26	1.001102259
27	0.9937887279
28	0.9882754122
29	0.98652497
30	0.9829803841
31	0.9744438621
32	0.9699906899
33	0.966421816
34	0.9613568034
35	0.9574909649
36	0.9547869035
37	0.952372902
38	0.9495807519
39	0.9475876079
40	0.9422322872
41	0.9403021239
42	0.9377183743
43	0.9350325928
44	0.9276681755
45	0.9245070716
46	0.9207841987
47	0.9183049113
48	0.9145296737
49	0.9081994538
50	0.9047854427
51	0.9001415551
52	0.8953388716
53	0.8911266444
54	0.8864666075
55	0.8805665786
56	0.87482406
57	0.8698317421
58	0.8655412987
59	0.8605548662
60	0.8578482371
61	0.8538882417
62	0.8514864706
63	0.8439107762
64	0.8356359643
65	0.8317037508
66	0.828813098
67	0.8256645779
68	0.8233701343
69	0.8204042117
70	0.815737268
71	0.8134856783
72	0.8109280897
73	0.8070969923
74	0.80337547
75	0.8006058071
76	0.7987415474
77	0.7961591458
78	0.7944571696
79	0.7918002063
80	0.7893615313
81	0.7865620291
82	0.7839952609
83	0.7807575302
84	0.778201069
85	0.7746743481
86	0.7716831353
87	0.7683158514
88	0.7664476634
89	0.7644008548
