iter	Passed	Remaining
0	11	1062
1	24	1056
2	39	1159
3	55	1200
4	70	1195
5	83	1162
6	97	1151
7	110	1133
8	124	1121
9	137	1099
10	149	1072
11	165	1077
12	177	1053
13	190	1035
14	203	1018
15	214	993
16	229	985
17	241	964
18	255	954
19	266	931
20	280	921
21	297	919
22	304	886
23	316	870
24	327	851
25	339	835
26	351	820
27	363	805
28	374	787
29	402	804
30	414	788
31	426	773
32	441	762
33	451	744
34	462	727
35	474	711
36	485	695
37	496	679
38	507	663
39	519	648
40	529	633
41	540	617
42	551	602
43	562	588
44	573	573
45	583	558
46	594	544
47	606	531
48	617	517
49	628	503
50	639	489
51	650	475
52	662	462
53	672	448
54	683	434
55	697	423
56	712	412
57	726	400
58	739	388
59	752	376
60	764	363
61	778	351
62	791	339
63	803	326
64	817	314
65	829	301
66	840	288
67	851	275
68	862	262
69	873	249
70	884	236
71	894	223
72	905	210
73	917	198
74	928	185
75	939	173
76	951	160
77	961	147
78	973	135
79	984	123
80	995	110
81	1007	98
82	1018	85
83	1029	73
84	1040	61
85	1051	48
86	1062	36
87	1073	24
88	1084	12
89	1094	0
